Scenario,Strategy,Pre-Fill,Post-Fill,Min Fill,Fill Drop %,Final Fill,Final Cost,Cost Increase,Holding Cost,Backlog Cost,Bullwhip,Backlog Dur,TTR
capacity_loss,all_combined,1.0,1.0,1.0,0.0,1.0,78763.0,72326.0,78763.0,0.0,0.0656,0.0,1.0
capacity_loss,baseline,0.9694,0.7972,0.7733,20.23,0.792,141826.0,137723.0,44986.0,96840.0,0.0407,106.5,109.0
capacity_loss,dual_only,0.9694,0.7972,0.7733,20.23,0.792,141826.0,137723.0,44986.0,96840.0,0.0401,106.5,109.0
capacity_loss,dynalloc_only,1.0,1.0,0.9981,0.19,1.0,64348.0,59089.0,64333.0,15.0,0.0548,0.5,24.0
capacity_loss,flex_only,1.0,0.9999,0.9968,0.32,1.0,63824.0,58563.0,63749.0,75.0,0.0394,2.0,11.0
capacity_loss,safety_only,1.0,0.9999,0.9968,0.32,1.0,63824.0,58563.0,63749.0,75.0,0.0394,2.0,11.0
demand_spike,all_combined,1.0,0.9993,0.9739,2.61,1.0,202065.0,185210.0,201835.0,230.0,0.0201,2.5,2.0
demand_spike,baseline,1.0,0.9865,0.7562,24.38,1.0,128755.0,118260.0,124940.0,3815.0,0.0169,10.0,11.0
demand_spike,dual_only,1.0,0.9865,0.7562,24.38,1.0,128755.0,118260.0,124940.0,3815.0,0.0166,10.0,11.0
demand_spike,dynalloc_only,1.0,0.9957,0.9078,9.22,1.0,169262.0,155347.0,167992.0,1270.0,0.1059,4.5,6.0
demand_spike,flex_only,1.0,0.9958,0.8716,12.84,1.0,167733.0,153818.0,166403.0,1330.0,0.0166,4.75,6.0
demand_spike,safety_only,1.0,0.9958,0.8716,12.84,1.0,167207.0,153292.0,165877.0,1330.0,0.0166,4.75,6.0
lead_time_surge,all_combined,1.0,0.9996,0.9759,2.41,1.0,126244.0,115749.0,126129.0,115.0,0.0415,1.0,12.0
lead_time_surge,baseline,1.0,0.9648,0.7605,23.95,1.0,84132.0,77678.0,75022.0,9110.0,0.0337,29.25,32.0
lead_time_surge,dual_only,1.0,0.9648,0.7605,23.95,1.0,84132.0,77678.0,75022.0,9110.0,0.0331,29.25,32.0
lead_time_surge,dynalloc_only,1.0,0.9952,0.9172,8.28,1.0,103344.0,94749.0,102744.0,600.0,0.0346,6.25,16.0
lead_time_surge,flex_only,1.0,0.9935,0.8946,10.54,1.0,103664.0,95069.0,102239.0,1425.0,0.0322,9.0,17.0
lead_time_surge,safety_only,1.0,0.9935,0.8946,10.54,1.0,103664.0,95069.0,102239.0,1425.0,0.0322,9.0,17.0
