Scenario,Strategy,Pre-Fill,Post-Fill,Min Fill,Fill Drop %,Final Fill,Final Cost,Holding Cost,Backlog Cost,Bullwhip,Backlog Dur,TTR,post_fill_mean,post_fill_std,final_cost_mean,final_cost_std,ttr_mean,ttr_std,BW Retailer,BW DC,BW Plant,BW Supplier
capacity_loss,baseline,0.966 ± nan,0.821 ± nan,0.795 ± nan,17.8 ± nan,0.820 ± nan,138391 ± nan,45276 ± nan,93115 ± nan,0.051 ± nan,106.8 ± nan,109.0 ± nan,0.8213496870277907,,138391.0,,109.0,,12.30 ± nan,0.09 ± nan,0.02 ± nan,2.91 ± nan
capacity_loss,dual_only,0.966 ± nan,0.821 ± nan,0.795 ± nan,17.8 ± nan,0.820 ± nan,138511 ± nan,45396 ± nan,93115 ± nan,0.051 ± nan,106.8 ± nan,109.0 ± nan,0.8213496870277907,,138511.0,,109.0,,12.30 ± nan,0.09 ± nan,0.02 ± nan,2.87 ± nan
capacity_loss,safety_only,1.000 ± nan,1.000 ± nan,0.993 ± nan,0.7 ± nan,1.000 ± nan,64601 ± nan,64481 ± nan,120 ± nan,0.047 ± nan,2.0 ± nan,25.0 ± nan,0.999813106326319,,64601.0,,25.0,,3.34 ± nan,0.46 ± nan,0.01 ± nan,2.91 ± nan
capacity_loss,flex_only,1.000 ± nan,1.000 ± nan,0.993 ± nan,0.7 ± nan,1.000 ± nan,64601 ± nan,64481 ± nan,120 ± nan,0.047 ± nan,2.0 ± nan,25.0 ± nan,0.999813106326319,,64601.0,,25.0,,3.34 ± nan,0.46 ± nan,0.01 ± nan,2.91 ± nan
capacity_loss,dynalloc_only,1.000 ± nan,1.000 ± nan,0.995 ± nan,0.5 ± nan,1.000 ± nan,65014 ± nan,64989 ± nan,25 ± nan,0.058 ± nan,0.2 ± nan,25.0 ± nan,0.9999566686887945,,65014.0,,25.0,,2.07 ± nan,1.19 ± nan,0.01 ± nan,2.91 ± nan
capacity_loss,all_combined,1.000 ± nan,1.000 ± nan,1.000 ± nan,0.0 ± nan,1.000 ± nan,79646 ± nan,79646 ± nan,0 ± nan,0.065 ± nan,0.0 ± nan,1.0 ± nan,1.0,,79646.0,,1.0,,1.12 ± nan,2.27 ± nan,0.01 ± nan,2.87 ± nan
lead_time_surge,baseline,1.000 ± nan,0.971 ± nan,0.798 ± nan,20.2 ± nan,1.000 ± nan,83394 ± nan,76239 ± nan,7155 ± nan,0.039 ± nan,24.2 ± nan,31.0 ± nan,0.9711891543356217,,83394.0,,31.0,,28.50 ± nan,0.06 ± nan,0.01 ± nan,2.91 ± nan
lead_time_surge,dual_only,1.000 ± nan,0.971 ± nan,0.798 ± nan,20.2 ± nan,1.000 ± nan,83514 ± nan,76359 ± nan,7155 ± nan,0.038 ± nan,24.2 ± nan,31.0 ± nan,0.9711891543356217,,83514.0,,31.0,,28.50 ± nan,0.06 ± nan,0.01 ± nan,2.87 ± nan
lead_time_surge,safety_only,1.000 ± nan,0.997 ± nan,0.946 ± nan,5.4 ± nan,1.000 ± nan,104347 ± nan,103582 ± nan,765 ± nan,0.038 ± nan,4.5 ± nan,13.0 ± nan,0.9968222537784248,,104347.0,,13.0,,13.42 ± nan,0.12 ± nan,0.01 ± nan,2.91 ± nan
lead_time_surge,flex_only,1.000 ± nan,0.997 ± nan,0.946 ± nan,5.4 ± nan,1.000 ± nan,104347 ± nan,103582 ± nan,765 ± nan,0.038 ± nan,4.5 ± nan,13.0 ± nan,0.9968222537784248,,104347.0,,13.0,,13.42 ± nan,0.12 ± nan,0.01 ± nan,2.91 ± nan
lead_time_surge,dynalloc_only,1.000 ± nan,0.997 ± nan,0.934 ± nan,6.6 ± nan,1.000 ± nan,104524 ± nan,103994 ± nan,530 ± nan,0.043 ± nan,4.2 ± nan,12.0 ± nan,0.9971111868828918,,104524.0,,12.0,,10.24 ± nan,0.22 ± nan,0.01 ± nan,2.91 ± nan
