seed,scenario,strategy,agent_id,tier,final_inventory,final_backlog,total_holding_cost,total_backlog_cost,total_cost,base_stock,capacity,lead_time,total_demand_received,total_orders_placed,avg_order_qty,order_variance,backlog_periods,total_demand,fulfilled_demand,agent_fill_rate
24,capacity_loss,baseline,0,supplier,63,0,7516.0,0.0,7516.0,60,50,3,17,20,0.16666666666666666,1.0888888888888886,0,,,
24,capacity_loss,baseline,1,supplier,62,0,7405.0,0.0,7405.0,60,50,3,16,18,0.15,1.0608333333333324,0,,,
24,capacity_loss,baseline,2,supplier,70,0,8380.0,0.0,8380.0,60,50,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
24,capacity_loss,baseline,3,supplier,71,0,8498.0,0.0,8498.0,60,50,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
24,capacity_loss,baseline,4,plant,50,0,4620.0,0.0,4620.0,50,60,2,1364,17,0.14166666666666666,0.7549305555555557,0,,,
24,capacity_loss,baseline,5,plant,50,0,4619.0,0.0,4619.0,50,60,2,1366,16,0.13333333333333333,0.6488888888888891,0,,,
24,capacity_loss,baseline,6,dc,13,0,1913.0,0.0,1913.0,30,0,2,9788,1364,11.366666666666667,57.66555555555556,0,,,
24,capacity_loss,baseline,7,dc,19,0,1915.0,0.0,1915.0,30,0,2,9045,1366,11.383333333333333,36.969722222222224,0,,,
24,capacity_loss,baseline,8,retailer,0,26,99.0,8355.0,8454.0,20,0,1,838,4332,36.1,212.22333333333336,93,838.0,795.0,0.9486873508353222
24,capacity_loss,baseline,9,retailer,0,20,100.0,4855.0,4955.0,20,0,1,776,3790,31.583333333333332,131.69305555555556,93,776.0,756.0,0.9742268041237113
24,capacity_loss,baseline,10,retailer,0,72,60.0,29650.0,29710.0,20,0,1,847,5456,45.46666666666667,200.41555555555558,111,847.0,600.0,0.7083825265643447
24,capacity_loss,baseline,11,retailer,0,56,77.0,22055.0,22132.0,20,0,1,804,5255,43.791666666666664,208.46493055555553,108,804.0,641.0,0.7972636815920398
24,capacity_loss,dual_only,0,supplier,63,0,7516.0,0.0,7516.0,60,50,3,17,20,0.16666666666666666,1.0888888888888886,0,,,
24,capacity_loss,dual_only,1,supplier,70,0,8380.0,0.0,8380.0,60,50,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
24,capacity_loss,dual_only,2,supplier,63,0,7520.0,0.0,7520.0,60,50,3,16,19,0.15833333333333333,1.0832638888888886,0,,,
24,capacity_loss,dual_only,3,supplier,71,0,8498.0,0.0,8498.0,60,50,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
24,capacity_loss,dual_only,4,plant,50,0,4620.0,0.0,4620.0,50,60,2,1364,17,0.14166666666666666,0.7549305555555557,0,,,
24,capacity_loss,dual_only,5,plant,50,0,4619.0,0.0,4619.0,50,60,2,1366,16,0.13333333333333333,0.6488888888888891,0,,,
24,capacity_loss,dual_only,6,dc,13,0,1913.0,0.0,1913.0,30,0,2,9788,1364,11.366666666666667,57.66555555555556,0,,,
24,capacity_loss,dual_only,7,dc,19,0,1915.0,0.0,1915.0,30,0,2,9045,1366,11.383333333333333,36.969722222222224,0,,,
24,capacity_loss,dual_only,8,retailer,0,26,99.0,8355.0,8454.0,20,0,1,838,4332,36.1,212.22333333333336,93,838.0,795.0,0.9486873508353222
24,capacity_loss,dual_only,9,retailer,0,20,100.0,4855.0,4955.0,20,0,1,776,3790,31.583333333333332,131.69305555555556,93,776.0,756.0,0.9742268041237113
24,capacity_loss,dual_only,10,retailer,0,72,60.0,29650.0,29710.0,20,0,1,847,5456,45.46666666666667,200.41555555555558,111,847.0,600.0,0.7083825265643447
24,capacity_loss,dual_only,11,retailer,0,56,77.0,22055.0,22132.0,20,0,1,804,5255,43.791666666666664,208.46493055555553,108,804.0,641.0,0.7972636815920398
24,capacity_loss,safety_only,0,supplier,81,0,9676.0,0.0,9676.0,78,50,3,17,20,0.16666666666666666,1.0888888888888886,0,,,
24,capacity_loss,safety_only,1,supplier,80,0,9565.0,0.0,9565.0,78,50,3,16,18,0.15,1.0608333333333324,0,,,
24,capacity_loss,safety_only,2,supplier,88,0,10540.0,0.0,10540.0,78,50,3,0,10,0.08333333333333333,0.8263888888888887,0,,,
24,capacity_loss,safety_only,3,supplier,89,0,10658.0,0.0,10658.0,78,50,3,0,11,0.09166666666666666,0.9999305555555551,0,,,
24,capacity_loss,safety_only,4,plant,65,0,6106.0,0.0,6106.0,65,60,2,1678,17,0.14166666666666666,0.7549305555555557,0,,,
24,capacity_loss,safety_only,5,plant,65,0,6217.0,0.0,6217.0,65,60,2,1568,16,0.13333333333333333,0.6488888888888891,0,,,
24,capacity_loss,safety_only,6,dc,31,0,2624.0,0.0,2624.0,39,0,2,2999,1678,13.983333333333333,38.73305555555556,0,,,
24,capacity_loss,safety_only,7,dc,19,0,2766.0,0.0,2766.0,39,0,2,2203,1568,13.066666666666666,55.82888888888888,0,,,
