seed,scenario,strategy,agent_id,tier,final_inventory,final_backlog,total_holding_cost,total_backlog_cost,total_cost,base_stock,capacity,lead_time,total_demand_received,total_orders_placed,avg_order_qty,order_variance,backlog_periods,total_demand,fulfilled_demand,agent_fill_rate
2411,capacity_loss,baseline,0,supplier,63,0,7521.0,0.0,7521.0,60,50,3,17,20,0.1666666666666666,1.2222222222222217,0,,,
2411,capacity_loss,baseline,1,supplier,61,0,7285.0,0.0,7285.0,60,50,3,18,19,0.1583333333333333,1.0665972222222218,0,,,
2411,capacity_loss,baseline,2,supplier,70,0,8380.0,0.0,8380.0,60,50,3,0,10,0.0833333333333333,0.8263888888888887,0,,,
2411,capacity_loss,baseline,3,supplier,71,0,8498.0,0.0,8498.0,60,50,3,0,11,0.0916666666666666,0.9999305555555552,0,,,
2411,capacity_loss,baseline,4,plant,50,0,4626.0,0.0,4626.0,50,60,2,1359,17,0.1416666666666666,0.6715972222222224,0,,,
2411,capacity_loss,baseline,5,plant,50,0,4622.0,0.0,4622.0,50,60,2,1360,18,0.15,0.6941666666666667,0,,,
2411,capacity_loss,baseline,6,dc,6,0,1921.0,0.0,1921.0,30,0,2,10654,1359,11.325,61.31937500000001,0,,,
2411,capacity_loss,baseline,7,dc,17,0,1913.0,0.0,1913.0,30,0,2,10578,1360,11.333333333333334,35.38888888888889,0,,,
2411,capacity_loss,baseline,8,retailer,0,67,71.0,13965.0,14036.0,20,0,1,892,4900,40.833333333333336,204.10555555555555,109,892.0,825.0,0.9248878923766816
2411,capacity_loss,baseline,9,retailer,0,18,62.0,12300.0,12362.0,20,0,1,875,4944,41.2,203.4933333333333,103,875.0,834.0,0.9531428571428572
2411,capacity_loss,baseline,10,retailer,0,8,53.0,37895.0,37948.0,20,0,1,905,5754,47.95,187.53083333333333,112,905.0,563.0,0.6220994475138122
2411,capacity_loss,baseline,11,retailer,0,275,34.0,32680.0,32714.0,20,0,1,837,5634,46.95,161.63083333333333,113,837.0,557.0,0.6654719235364397
2411,capacity_loss,dual_only,0,supplier,63,0,7521.0,0.0,7521.0,60,50,3,17,20,0.1666666666666666,1.2222222222222217,0,,,
2411,capacity_loss,dual_only,1,supplier,70,0,8380.0,0.0,8380.0,60,50,3,0,10,0.0833333333333333,0.8263888888888887,0,,,
2411,capacity_loss,dual_only,2,supplier,61,0,7285.0,0.0,7285.0,60,50,3,18,19,0.1583333333333333,0.9999305555555552,0,,,
2411,capacity_loss,dual_only,3,supplier,71,0,8498.0,0.0,8498.0,60,50,3,0,11,0.0916666666666666,0.9999305555555552,0,,,
2411,capacity_loss,dual_only,4,plant,50,0,4626.0,0.0,4626.0,50,60,2,1359,17,0.1416666666666666,0.6715972222222224,0,,,
