Scenario,Strategy,Post-Fill,Min Fill,Final Cost,Bullwhip,TTR
capacity_loss,baseline,0.833 ± 0.043,0.806 ± 0.040,130111 ± 17401,0.047 ± 0.005,109.0 ± 0.0
capacity_loss,dual_only,0.833 ± 0.043,0.806 ± 0.040,130190 ± 17363,0.046 ± 0.006,109.0 ± 0.0
capacity_loss,safety_only,1.000 ± 0.000,0.996 ± 0.003,64395 ± 501,0.044 ± 0.004,29.7 ± 21.4
capacity_loss,flex_only,1.000 ± 0.000,0.996 ± 0.003,64395 ± 501,0.044 ± 0.004,29.7 ± 21.4
capacity_loss,dynalloc_only,1.000 ± 0.000,0.997 ± 0.002,64896 ± 500,0.059 ± 0.005,47.3 ± 39.6
capacity_loss,all_combined,1.000 ± 0.000,1.000 ± 0.000,79454 ± 618,0.067 ± 0.004,1.0 ± 0.0
lead_time_surge,baseline,0.978 ± 0.017,0.831 ± 0.092,82402 ± 2387,0.042 ± 0.010,24.0 ± 13.0
lead_time_surge,dual_only,0.978 ± 0.017,0.831 ± 0.092,82480 ± 2347,0.041 ± 0.010,24.0 ± 13.0
lead_time_surge,safety_only,0.997 ± 0.003,0.944 ± 0.048,104372 ± 721,0.047 ± 0.021,12.3 ± 5.0
lead_time_surge,flex_only,0.997 ± 0.003,0.944 ± 0.048,104372 ± 721,0.047 ± 0.021,12.3 ± 5.0
lead_time_surge,dynalloc_only,0.997 ± 0.002,0.948 ± 0.039,104325 ± 899,0.050 ± 0.019,11.7 ± 4.5
lead_time_surge,all_combined,1.000 ± 0.000,0.987 ± 0.012,127206 ± 879,0.057 ± 0.015,8.3 ± 6.4
demand_spike,baseline,0.987 ± 0.002,0.768 ± 0.036,129134 ± 599,0.018 ± 0.002,11.3 ± 0.6
demand_spike,dual_only,0.987 ± 0.002,0.768 ± 0.036,129213 ± 637,0.018 ± 0.002,11.3 ± 0.6
demand_spike,safety_only,0.996 ± 0.001,0.893 ± 0.029,167605 ± 650,0.018 ± 0.002,5.7 ± 0.6
demand_spike,flex_only,0.996 ± 0.001,0.893 ± 0.029,168196 ± 490,0.018 ± 0.002,5.7 ± 0.6
demand_spike,dynalloc_only,0.996 ± 0.001,0.920 ± 0.023,168605 ± 610,0.073 ± 0.047,6.7 ± 1.2
demand_spike,all_combined,1.000 ± 0.000,0.981 ± 0.011,202777 ± 647,0.021 ± 0.003,3.0 ± 1.7
